Number of Words,Number of Links,Number of Capitalized Words,Number of Spam Words,Class
69,9,0,4,1
74,4,0,3,0
46,3,0,1,0
53,7,0,3,1
56,3,0,0,0
46,4,0,7,1
53,4,0,1,0
51,5,0,5,0
48,5,0,1,1
46,3,0,1,0
47,1,0,0,0
47,5,0,3,1
32,0,0,0,0
33,2,2,3,0
120,1,1,9,1
39,3,0,4,1
44,5,0,3,1
29,0,0,0,0
53,4,0,0,0
33,0,0,0,0
48,5,0,4,1
33,2,2,3,0
43,3,0,0,0
27,0,0,0,0
78,4,0,4,0
58,5,0,6,1
50,4,0,1,0
40,1,0,0,0
60,9,0,3,1
53,4,0,1,0
59,9,0,2,1
63,8,0,1,1
48,5,0,4,1
50,1,0,1,0
34,2,0,1,0
59,7,0,3,1
50,7,0,2,1
49,6,0,3,1
62,7,0,3,1
56,7,0,4,1
63,8,0,1,1
55,8,0,4,1
24,0,0,0,0
34,0,0,0,0
71,8,3,4,1
40,1,0,0,0
39,3,0,4,1
34,2,0,1,0
51,5,0,5,0
43,4,0,2,0
86,2,0,2,0
68,4,1,4,0
53,5,0,1,0
50,4,0,1,0
50,7,0,2,1
44,5,0,3,1
51,6,0,2,1
61,8,0,3,1
74,4,0,3,0
68,4,1,4,0
120,1,1,9,1
34,1,0,0,0
60,8,0,3,1
47,5,0,6,1
27,0,0,0,0
61,7,0,6,1
47,5,0,3,1
33,0,0,0,0
47,3,0,2,0
61,3,0,0,0
69,8,0,3,1
55,6,0,2,1
34,1,0,3,0
53,6,0,2,1
29,0,0,0,0
48,5,0,1,1
47,1,0,0,0
34,1,0,0,0
55,6,0,2,1
43,4,0,2,0
50,1,0,1,0
55,8,0,4,1
51,1,0,2,0
114,1,1,2,0
46,4,0,7,1
53,6,0,2,1
53,4,0,0,0
71,8,3,4,1
33,1,0,4,1
58,2,0,0,0
78,4,0,4,0
27,0,0,3,1
34,1,0,3,0
29,0,0,0,0
60,8,0,3,1
61,8,0,3,1
32,2,0,0,0
47,3,0,2,0
32,0,0,0,0
56,7,0,4,1
59,7,0,3,1
61,7,0,6,1
24,0,0,0,0
56,7,0,4,1
29,0,0,0,0
58,8,0,0,1
86,2,0,2,0
47,5,0,6,1
56,3,0,0,0
59,9,0,2,1
58,2,0,0,0
65,2,0,1,0
114,1,1,2,0
49,6,0,3,1
43,3,0,0,0
32,2,0,0,0
33,0,0,1,0
58,8,0,0,1
69,8,0,3,1
34,0,0,0,0
65,9,0,3,1
61,3,0,0,0
58,5,0,6,1
69,9,0,4,1
48,5,0,4,1
53,5,0,1,0
60,9,0,3,1
33,0,0,1,0
60,7,0,5,1
46,2,0,3,0
27,0,0,3,1
51,6,0,2,1
33,1,0,4,1
46,2,0,3,0
62,7,0,3,1
51,1,0,2,0
60,7,0,5,1
65,9,0,3,1
56,7,0,4,1
48,5,0,4,1
65,2,0,1,0
53,7,0,3,1
